award_id,source_award_id,notice_id,procedure_id,lot_id,award_date,award_status,award_value,currency_code,source_id,source_file_id,source_record_id,collected_at
awd_00219,RES-0001,not_0084,pro_0079,lot_00217,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0084,lot_result:RES-0001,2026-08-19
awd_00220,RES-0002,not_0084,pro_0079,lot_00218,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0084,lot_result:RES-0002,2026-08-19
awd_00221,RES-0003,not_0084,pro_0079,lot_00219,2000-01-01,selec-w,96432.52,EUR,src_ted_opendata,file_ted_0084,lot_result:RES-0003,2026-08-19
awd_00222,RES-0004,not_0084,pro_0079,lot_00220,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0084,lot_result:RES-0004,2026-08-19
awd_00223,RES-0001,not_0085,pro_0080,lot_00221,2000-01-01,selec-w,459126,EUR,src_ted_opendata,file_ted_0085,lot_result:RES-0001,2026-08-19
awd_00224,RES-0001,not_0086,pro_0081,lot_00222,2000-01-01,selec-w,3236069080,PLN,src_ted_opendata,file_ted_0086,lot_result:RES-0001,2026-08-19
awd_00225,RES-0001,not_0087,pro_0082,lot_00223,2024-12-31,selec-w,22998.75,BGN,src_ted_opendata,file_ted_0087,lot_result:RES-0001,2026-08-19
awd_00226,RES-0001,not_0088,pro_0083,lot_00224,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0088,lot_result:RES-0001,2026-08-19
awd_00227,RES-0001,not_0089,pro_0084,lot_00225,2024-12-31,selec-w,1289684.00,BGN,src_ted_opendata,file_ted_0089,lot_result:RES-0001,2026-08-19
awd_00228,RES-0000,not_0090,pro_0085,lot_00226,2000-01-01,selec-w,,,src_ted_opendata,file_ted_0090,lot_result:RES-0000,2026-08-19
awd_00229,RES-0001,not_0091,pro_0086,lot_00227,2000-01-01,selec-w,22425555,PLN,src_ted_opendata,file_ted_0091,lot_result:RES-0001,2026-08-19
awd_00230,RES-0001,not_0092,pro_0087,lot_00228,2000-01-01,selec-w,218725.98,PLN,src_ted_opendata,file_ted_0092,lot_result:RES-0001,2026-08-19
awd_00231,RES-0001,not_0093,pro_0088,lot_00229,2000-01-01,selec-w,,,src_ted_opendata,file_ted_0093,lot_result:RES-0001,2026-08-19
awd_00232,RES-0003,not_0094,pro_0089,lot_00230,2000-01-01,selec-w,866910.0,CHF,src_ted_opendata,file_ted_0094,lot_result:RES-0003,2026-08-19
awd_00233,RES-0001,not_0095,pro_0090,lot_00231,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0095,lot_result:RES-0001,2026-08-19
awd_00234,RES-0001,not_0096,pro_0091,lot_00232,2000-01-01,selec-w,748832.84,PLN,src_ted_opendata,file_ted_0096,lot_result:RES-0001,2026-08-19
awd_00235,RES-0001,not_0097,pro_0004,lot_00233,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0097,lot_result:RES-0001,2026-08-19
awd_00236,RES-0001,not_0098,pro_0004,lot_00234,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0098,lot_result:RES-0001,2026-08-19
awd_00237,RES-0001,not_0099,pro_0092,lot_00235,2000-01-01,selec-w,194771.80,EUR,src_ted_opendata,file_ted_0099,lot_result:RES-0001,2026-08-19
awd_00238,RES-0001,not_0100,pro_0093,lot_00236,2024-12-30,selec-w,,,src_ted_opendata,file_ted_0100,lot_result:RES-0001,2026-08-19
awd_00239,RES-0000,not_0101,pro_0094,lot_00237,2000-01-01,selec-w,,,src_ted_opendata,file_ted_0101,lot_result:RES-0000,2026-08-19
awd_00240,RES-0001,not_0102,pro_0095,lot_00238,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0001,2026-08-19
awd_00241,RES-0002,not_0102,pro_0095,lot_00240,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0002,2026-08-19
awd_00242,RES-0003,not_0102,pro_0095,lot_00239,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0003,2026-08-19
awd_00243,RES-0004,not_0102,pro_0095,lot_00247,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0004,2026-08-19
awd_00244,RES-0005,not_0102,pro_0095,lot_00246,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0005,2026-08-19
awd_00245,RES-0006,not_0102,pro_0095,lot_00245,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0006,2026-08-19
awd_00246,RES-0007,not_0102,pro_0095,lot_00242,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0007,2026-08-19
awd_00247,RES-0008,not_0102,pro_0095,lot_00241,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0008,2026-08-19
awd_00248,RES-0009,not_0102,pro_0095,lot_00244,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0009,2026-08-19
awd_00249,RES-0010,not_0102,pro_0095,lot_00243,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0102,lot_result:RES-0010,2026-08-19
awd_00250,RES-0001,not_0103,pro_0004,lot_00248,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0103,lot_result:RES-0001,2026-08-19
awd_00251,RES-0001,not_0104,pro_0096,lot_00249,2000-01-01,selec-w,300000,EUR,src_ted_opendata,file_ted_0104,lot_result:RES-0001,2026-08-19
awd_00252,RES-0001,not_0105,pro_0097,lot_00250,2000-01-01,clos-nw,,,src_ted_opendata,file_ted_0105,lot_result:RES-0001,2026-08-19
awd_00253,RES-0001,not_0106,pro_0098,lot_00251,2000-01-01,selec-w,57437000,CZK,src_ted_opendata,file_ted_0106,lot_result:RES-0001,2026-08-19
awd_00254,RES-0001,not_0107,pro_0099,lot_00252,2000-01-01,selec-w,899970,PLN,src_ted_opendata,file_ted_0107,lot_result:RES-0001,2026-08-19
awd_00255,RES-0001,not_0108,pro_0100,lot_00253,2000-01-01,selec-w,,,src_ted_opendata,file_ted_0108,lot_result:RES-0001,2026-08-19
awd_00256,RES-0001,not_0109,pro_0101,lot_00254,2000-01-01,selec-w,27634304.36,PLN,src_ted_opendata,file_ted_0109,lot_result:RES-0001,2026-08-19
